name,countryId
"Arabian Supply &Architectural contracting Co.ltd. (Asacco)",2
"(WORLD DOOR) Bab Al-Alam Factory Company Limited Branch",2
"(REFCON) The Executive Corporation for Commercial Services, owned by Saeed Ahmed Al Nasha",2
A café on the side serves drinks,2
A café on the side serves drinks ( IN THE SIDE ),2
A casual coffee shop serving drinks,2
A CAUSAL BAKERY,2
A gourmet institution to provide meals,2
A.A. TURKI GROUP OF COMPANIES,2
AARAB COFFEE SHOP,2
AARAB COFFRR SHOP,2
ABDUL AAZIZ AL MOUSA BAKERY ,2
ABDUL AZIZ & AL-SALEIM FOR CONTRACTING,2
Abdul Aziz Al Hureshi For General Contracting Co.KSA Group 20th,2
Abdul Latif ( Branch of Abdul Latif Al-Humin Contracting Est ),2
ABDUL LATIF HAMEEN FOUNDATION,2
ABDUL RAHMAN BIN,2
ABDUL RAHMAN BIN ABDUL AZIZ AL-SALEM DÉCOR EST,2
Abdul Rahman Saad Safi Al-Safi Upholstery and polishing in Khalidiya,2
ABDULAZIZ AL ZAHRANI EST. & AL TAYSEER CAR POLISH UPHOLSTERY,2
Abdul-Jalil Abdullah Al-Masbah Trading Est,2
Abdullah Abdulmajeed Alfaraj Contracting Establishment,2
ABDULLAH AL BARADI TRADING EST.,2
ABDULLAH AL MESBAH CONTRACTING EST,2
ABDULLAH AL OTHAIM MARKETS COMPANY,2
ABDULLAH AL-DOSSARY & PARTNER CO,2
ABDULLAH H.R. AL-GHAMDI EST FOR GENERAL CONTRACTING,2
Abdullah Hassan Al Marhoon,2
ABDULLAH M. ABAHUSSAIN TRADING EST.,2
ABDULLAH S. AL-AIJAN TRADING,2
Abdullah Saleh Al Sultan & Sons Company,2
Abdullah Saleh Al-Sultan and Sons Company,2
ABSHAN DECORATION INDUSTRY,2
ABU TAHSEEN,2
ADEL ALI ABU QRAIN FOR MAINT. & MEND EST.,2
ADEL ALI QRAIN,2
ADEL MUHAMAD AL ROUDHAN FACTORY,2
Adel Muhammad Manea,2
ADKA CONTRATING COMPANY,2
Advanced Imdad Contracting Est,2
AFAAL AL-KHALEEJ EST COMPANY SAUDI ARABIA GROUP,2
AFANDI(CAKE),2
AFAQ FOOD COMPANY,2
Afra Dhafer Mufleh Al Dossary Factory for Industry,2
Agricultural Ibrahim Abdul Rahman Suleiman Al-Khatib,2
Ahmed Abdel Hadi Hamidi Foundation for Operation and Maintenance,2
AHMED ESSA AL ESSA,2
Ahmed Mohamed Farrag General Contracting Establishment,2
AHMED SALEH AL-MANA TRADING EST.,2
Ahmed Sultan Ahmed Al Ghamdi Car Services Est,2
AJEEB CURTAINS & DÉCOR,2
AJLAN GROUP,2
AKNAN SUITS (ALFA ALKHALEEJ CONTRACTING COMPANY),2
AKNAN SUITS (ALFAALKHALEEJ CONTRACTING COMPANY),2
AL AMARA INTERNATIONAL TRADING & CONTRACTNG,2
AL AMTAR,2
AL- ANWAR EASTERN CONTRACTING EST KSA,2
AL ATIKA,2
AL AYUNI TRADING & CONTRACTING CO.,2
AL- AZIZIA PANDA UNITED INC,2
Al Bustan coffee shop to serve drinks,2
Al Dahan contracting company,2
AL DASSARY,2
AL FAHAD CO. TRADING AND CO.,2
"AL FALAK (Branch of Al-Falak Labor Services Company, a closed joint stock company)",2
AL FALAK MANPOWER SERVICE COMPANY,2
Al Faraj Contracting Establishment 75th,2
AL FAWAD,2
AL FHAMDI CAR SERVICES,2
AL- FOZAN WOOD INDUSTRIES CO.LTD,2
AL HAIDER COMPANY FOR TRADING & CONTRACTING,2
AL HAMID,2
Al Hasa Automatic Bakery,2
Al Hattab Skewers Restaurant for serving meals,2
Al Hattab Skewers Restaurant for serving mealsK.S.A,2
AL- HILALI TRADING & CONTRACTING CO.,2
Al Hilali Trading and Contracting Company,2
AL HUSSAN GROUP OF COMPANIES,2
AL JABALEINTRAD AND ROAD CONT.CO.,2
AL JABR CONTRACTING CO.LTD,2
AL JAZEERA 2023,2
Al Jazeera Service Contracting Est,2
AL JUBRAN EST FOR TRADING ,2
Al Kal Beverage Serving Establishment,2
